Unnamed: 0,name,artists,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,nlp_lyrics,nlp_annotations,valence+nlp,mood
124,Meditations pt 1,['Estado De Calma'],0.416,0.567,150806,0.184,0.903,2,0.096,-18.937,1,0.0339,116.131,4,0.075,,,0.075,Calm
125,The Beginning,['Double Singularity'],0.67,0.358,229042,0.341,0.966,4,0.0771,-16.751,1,0.0431,124.25,4,0.162,0.999,0.999,0.182,Calm
126,Progress,['Ever So Blue'],0.995,0.268,138629,0.0234,0.929,0,0.0975,-27.141,1,0.0487,99.734,4,0.0382,-0.9993,-0.9993,0.0182,Calm
127,Breathing Like the Pastures,['Rand Aldo'],0.933,0.447,221177,0.128,0.851,9,0.102,-19.883,1,0.0312,99.895,4,0.0393,-0.9987,-0.9987,0.0193,Calm
128,In the Clouds,['Astron'],0.93,0.318,176797,0.0466,0.936,1,0.201,-20.373,0,0.0347,73.629,4,0.0384,0.8674,0.8674,0.0557,Calm
129,Farnley Lane,['The Sleepwalkers'],0.926,0.202,198304,0.0374,0.885,0,0.0751,-24.547,1,0.0398,71.223,4,0.0656,,,0.0656,Calm
130,Memory Tree,['Amparo'],0.712,0.515,174000,0.273,0.867,11,0.11,-14.711,0,0.038,180.294,4,0.0869,1.0,1.0,0.1069,Calm
131,Drifting,['Silje Månsson'],0.763,0.245,123354,0.0349,0.938,9,0.104,-27.828,0,0.0358,84.674,5,0.039,-1.0,-1.0,0.019,Calm
132,Mars,['Stratospheric'],0.912,0.484,147386,0.132,0.825,9,0.112,-21.061,0,0.035,100.027,4,0.0854,0.9965,0.9965,0.1053,Calm
133,Arriving,['Hilder Sky'],0.995,0.281,145475,0.00943,0.964,10,0.116,-22.661,1,0.0374,70.348,5,0.0384,1.0,1.0,0.0584,Calm
134,Epilogue,['Paul Dennehy'],0.981,0.421,257625,0.126,0.937,10,0.108,-18.788,1,0.032,135.941,4,0.0658,,,0.0658,Calm
135,Moment of Clarity,['Light Bin'],0.917,0.18,141581,0.18,0.94,1,0.112,-22.439,1,0.0324,64.105,4,0.0713,-0.9925,-0.9925,0.0515,Calm
136,Foveaux Strait,['Ensemble Rivr Dane'],0.337,0.149,224000,0.196,0.917,0,0.108,-17.93,1,0.0424,104.64,1,0.0308,0.0,0.0,0.0308,Calm
137,Observations From A Faraway Place,['Rannar Sillard'],0.826,0.176,142074,0.117,0.885,7,0.124,-22.34,1,0.0401,76.125,4,0.142,,,0.142,Calm
138,Sunbleached Memory,['Toledo Rains'],0.645,0.354,155353,0.104,0.781,0,0.111,-25.589,1,0.0353,138.066,4,0.0655,,,0.0655,Calm
139,Chasing Love,['Mondbery'],0.97,0.28,131277,0.0966,0.708,10,0.0968,-25.846,1,0.0386,94.254,4,0.112,1.0,1.0,0.132,Calm
140,Waiting,['Sheltered Solitude'],0.941,0.331,130069,0.0778,0.919,9,0.101,-16.176,0,0.0389,106.781,1,0.0666,1.0,1.0,0.0866,Calm
141,Last Night,['Jedisol'],0.974,0.128,127094,0.0672,0.863,2,0.103,-25.511,1,0.0411,179.527,4,0.0971,,,0.0971,Calm
142,L'anniversaire,['William Keats'],0.749,0.336,165327,0.0866,0.765,6,0.125,-23.381,1,0.0334,63.942,4,0.0601,,,0.0601,Calm
143,Final Mid,['Sebastián Escofet'],0.987,0.488,129200,0.0549,0.943,11,0.0753,-26.054,0,0.0376,65.011,4,0.122,,,0.122,Calm
144,they sink,['Ólafur Arnalds'],0.99,0.435,155485,0.0564,0.943,5,0.113,-27.616,0,0.0369,110.006,4,0.127,,,0.127,Calm
145,Ether,['Jakob Ahlbom'],0.766,0.64,189041,0.347,0.924,0,0.1,-15.126,0,0.0382,115.013,4,0.0749,,,0.0749,Calm
146,Blue Adrian,['369'],0.825,0.122,187910,0.131,0.849,10,0.101,-18.123,1,0.0371,78.917,5,0.0716,0.9989,0.9989,0.0916,Calm
147,Soft Upon Your Face,['Ave Air'],0.957,0.189,194836,0.0854,0.918,8,0.118,-22.918,1,0.0496,161.119,3,0.0363,-1.0,-1.0,0.0163,Calm
148,Dreams Of Another Reality,['August Wilhelmsson'],0.971,0.581,190000,0.284,0.942,0,0.19,-17.132,0,0.0319,119.991,4,0.249,,,0.249,Calm
149,Pale Lights (Dark Dark Horse Remix),"['Dark Dark Horse', 'This Patch of Sky']",0.721,0.574,257607,0.367,0.899,7,0.33,-14.744,0,0.0269,115.995,3,0.0605,0.9978,0.9978,0.0805,Calm
150,Alluvium,['Cecelya'],0.923,0.2,124081,0.176,0.914,3,0.178,-17.259,1,0.0318,78.668,4,0.237,,,0.237,Calm
151,He Needs Help,['David Wingo'],0.949,0.141,190667,0.0449,0.961,0,0.0872,-26.108,1,0.0364,67.461,4,0.0377,,,0.0377,Calm
152,Candlelight,['Reed Goff'],0.923,0.2,124081,0.176,0.914,3,0.178,-17.259,1,0.0318,78.668,4,0.237,-0.9978,-0.9978,0.217,Calm
153,Dans i Vindi,['Elvar Arngrimsson'],0.721,0.41,184800,0.156,0.811,2,0.0865,-15.058,1,0.037,72.173,4,0.0885,,,0.0885,Calm
154,Kohobodi Boy,['Daniel Kadawatha'],0.939,0.349,163833,0.286,0.89,4,0.352,-17.224,1,0.0296,79.947,4,0.0818,,,0.0818,Calm
155,Cotton Spheres,['Lama House'],0.912,0.33,174756,0.395,0.947,0,0.107,-13.337,1,0.0306,112.799,4,0.0398,1.0,1.0,0.0598,Calm
156,Tomorrow Will Save Us,['Rand Aldo'],0.545,0.279,186000,0.146,0.82,7,0.125,-18.254,1,0.0338,80.024,4,0.0396,-0.8652,-0.8652,0.0223,Calm
157,Before Leaving,['Gradient Layer'],0.992,0.204,115494,0.0829,0.899,5,0.104,-25.513,1,0.0387,86.135,4,0.0469,1.0,1.0,0.0669,Calm
158,Postcards from You,['Life Below Elephants'],0.00563,0.559,232889,0.66,0.805,11,0.116,-7.868,0,0.0257,135.02,4,0.124,0.6166,0.6166,0.1363,Calm
159,Clovelly Dreams,['Zero Mileage'],0.286,0.478,191162,0.305,0.954,4,0.07,-14.726,0,0.03,137.965,4,0.0701,1.0,1.0,0.0901,Calm
160,White Waves,['Cooper Sams'],0.915,0.492,231724,0.237,0.883,7,0.125,-18.108,1,0.0331,116.083,4,0.0519,0.9975,0.9975,0.0718,Calm
161,Sphere,['Jakob Ahlbom'],0.976,0.326,200385,0.0971,0.951,7,0.0784,-16.226,1,0.0337,74.724,4,0.0389,,,0.0389,Calm
162,Dakota,['Sheltered Solitude'],0.838,0.236,130025,0.257,0.83,9,0.112,-16.112,1,0.0339,137.626,5,0.153,0.9986,0.9986,0.173,Calm
163,"Two One, Four","['Fyfe', 'Iskra Strings']",0.979,0.17,277347,0.0383,0.918,0,0.0897,-21.622,1,0.0444,79.601,4,0.0349,-0.8892,-0.8892,0.0171,Calm
164,Gloaming,['Cecelya'],0.909,0.223,135575,0.119,0.92,3,0.146,-18.846,1,0.0334,67.798,4,0.185,0.9999,0.9999,0.205,Calm
165,Morro Bay,['Lundegard'],0.968,0.645,192171,0.119,0.877,11,0.102,-20.521,1,0.0505,121.975,4,0.0505,,,0.0505,Calm
166,Sea of Tranquility,['Evan Michael Brown'],0.907,0.444,175000,0.151,0.817,0,0.201,-21.416,1,0.0321,106.038,4,0.0375,0.9985,0.9985,0.0575,Calm
167,Sunrise,['Elise Magnefold'],0.653,0.172,169688,0.0953,0.875,7,0.0991,-19.637,1,0.0396,72.618,5,0.126,1.0,1.0,0.146,Calm
168,You Have Done Well,['They Dream By Day'],0.977,0.208,252380,0.132,0.919,0,0.365,-16.223,1,0.038,125.245,3,0.0822,0.9014,0.9014,0.1002,Calm
169,Clear Language,['Balmorhea'],0.956,0.397,193387,0.0767,0.856,5,0.0992,-15.786,1,0.0374,122.626,4,0.0365,0.9998,0.9998,0.0565,Calm
170,The Slide,['Eucalyptic'],0.883,0.279,174947,0.108,0.88,8,0.113,-17.18,0,0.0327,134.27,3,0.141,0.9991,0.9991,0.161,Calm
171,The Light of Day,['Chymeris'],0.96,0.197,167387,0.106,0.921,4,0.102,-19.51,1,0.045,83.262,3,0.0623,1.0,1.0,0.0823,Calm
172,Waiting,['Catherine Holm'],0.993,0.141,109236,0.166,0.792,4,0.117,-19.151,1,0.0379,181.708,4,0.371,0.9996,0.9996,0.391,Calm
173,Overture,['Lights & Motion'],0.976,0.355,197667,0.074,0.928,2,0.0892,-17.67,1,0.0317,77.003,4,0.0605,,,0.0605,Calm
174,"2 Nights, a Whisper",['Arylith'],0.957,0.365,190804,0.0874,0.97,9,0.0795,-20.689,1,0.0321,97.844,4,0.0368,,,0.0368,Calm
175,My World Is Changing,['Eroded Sky'],0.959,0.569,171613,0.19,0.628,3,0.116,-15.883,1,0.041,81.002,4,0.172,-0.9998,-0.9998,0.152,Calm
176,Wait Until Spring,['Dhyana Thomas'],0.708,0.395,189407,0.296,0.909,5,0.102,-16.734,1,0.0326,138.674,4,0.0546,,,0.0546,Calm
177,Monita,['Vincent Brahn'],0.994,0.203,196000,0.0664,0.868,5,0.132,-24.621,1,0.0452,65.108,3,0.0433,-0.9474,-0.9474,0.0244,Calm
178,Silk And Honey,['Wolfgang Snow'],0.889,0.516,200493,0.137,0.885,0,0.14,-23.667,1,0.0375,128.875,4,0.213,0.9999,0.9999,0.233,Calm
179,Escape,['David Wingo'],0.897,0.431,85467,0.17,0.876,7,0.113,-23.404,1,0.0459,129.923,3,0.0385,,,0.0385,Calm
180,Yatta,['Fukase Junichiro'],0.967,0.591,144375,0.101,0.916,7,0.0803,-27.437,1,0.036,133.324,4,0.279,,,0.279,Calm
181,Northern Lights,['Chasing Noise'],0.962,0.352,216000,0.174,0.912,7,0.101,-13.51,1,0.0355,139.998,4,0.0389,0.9978,0.9978,0.0589,Calm
182,October Skies,['Ebb & Flod'],0.919,0.179,175150,0.0586,0.894,2,0.097,-17.371,1,0.0362,74.223,4,0.0852,-0.9997,-0.9997,0.0652,Calm
183,Seeming,['Helios'],0.448,0.168,155867,0.224,0.799,10,0.0974,-18.379,1,0.0421,68.731,3,0.039,0.9999,0.9999,0.059,Calm
184,Lore,['Moon Hill'],0.902,0.177,195300,0.219,0.925,5,0.113,-15.899,1,0.0364,70.286,3,0.0287,0.9914,0.9914,0.0485,Calm
185,Deliverance,['Avery Young'],0.925,0.563,239024,0.283,0.922,5,0.101,-23.773,1,0.0275,99.319,4,0.194,1.0,1.0,0.214,Calm
186,Timeless,['Orchestrate the Universe'],0.994,0.558,116007,0.263,0.941,6,0.11,-18.289,0,0.0341,111.364,3,0.0523,0.9988,0.9988,0.0723,Calm
187,Saoirse,['Symon van Gent'],0.89,0.58,179000,0.123,0.86,5,0.0939,-27.519,1,0.0328,140.001,4,0.102,0.998,0.998,0.122,Calm
188,Never Let Go,['Galvic'],0.969,0.366,159295,0.224,0.915,3,0.111,-21.749,0,0.0392,199.962,4,0.131,0.9904,0.9904,0.1508,Calm
189,Migration,"['Keith Kenniff', 'Goldmund']",0.942,0.275,217757,0.0476,0.904,10,0.0924,-22.524,1,0.0356,102.83,4,0.0712,,,0.0712,Calm
190,If I'd Have Known It Was The Last (Second Position),['Codes In The Clouds'],0.00468,0.462,112720,0.249,0.896,7,0.108,-14.157,1,0.0315,106.039,3,0.0481,-1.0,-1.0,0.0281,Calm
191,Masollan,['Balmorhea'],0.324,0.459,313460,0.325,0.899,4,0.113,-13.411,1,0.0261,90.817,4,0.176,,,0.176,Calm
192,Bless Those Tired Eyes,['Clem Leek'],0.889,0.301,232221,0.198,0.871,10,0.104,-18.721,0,0.0314,136.903,1,0.04,,,0.04,Calm
193,The Return Home,['Daniel Kadawatha'],0.906,0.127,168378,0.215,0.94,4,0.119,-19.073,1,0.0351,88.382,4,0.0541,,,0.0541,Calm
194,Ashes,['Orchestrate the Universe'],0.925,0.262,131000,0.0513,0.872,3,0.104,-20.587,0,0.0431,77.242,4,0.15,0.9987,0.9987,0.17,Calm
195,Revealing The Unreal,['Ave Air'],0.982,0.18,212895,0.0311,0.875,2,0.0987,-24.427,0,0.0402,119.501,4,0.0353,0.9999,0.9999,0.0553,Calm
0,Appreciation,['Vishal Casey'],0.99,0.206,169000,0.0132,0.974,7,0.108,-30.649,1,0.0406,74.014,3,0.0872,-1.0,-1.0,0.0672,Sleepy
1,Turndown Service,['Adeline Verver'],0.946,0.164,115800,0.0188,0.893,10,0.081,-34.105,1,0.0341,71.96,4,0.0593,,,0.0593,Sleepy
2,Tirana Wolves,['Wolves Club'],0.952,0.145,206426,0.00504,0.977,5,0.109,-31.338,1,0.0472,138.263,5,0.0373,1.0,1.0,0.0573,Sleepy
3,Sueno,['Roland Mercier'],0.961,0.174,163053,0.023,0.902,0,0.14,-34.037,1,0.0384,66.427,5,0.07,,,0.07,Sleepy
4,Origami,['Regentum'],0.992,0.185,142364,0.0165,0.968,1,0.158,-32.971,0,0.045,71.305,4,0.0459,-0.9988,-0.9988,0.0259,Sleepy
5,No Matter What,['Tuva Meyer'],0.974,0.0623,194625,0.0403,0.962,9,0.0909,-29.219,1,0.0527,62.484,4,0.0359,-0.9951,-0.9951,0.016,Sleepy
6,Portraits,['For The Lost'],0.971,0.195,193714,0.0669,0.91,8,0.0986,-27.78,0,0.0416,70.65,4,0.063,0.9882,0.9882,0.0828,Sleepy
7,Reoite,['Mila Harper'],0.957,0.0896,142638,0.0183,0.86,9,0.074,-33.507,1,0.0466,85.095,5,0.0369,-1.0,-1.0,0.0169,Sleepy
8,Monrovia,['Prescient Liquids'],0.974,0.0661,210000,0.0186,0.933,1,0.0969,-32.479,0,0.0445,70.273,4,0.0407,0.9993,0.9993,0.0607,Sleepy
9,Clear Conscience,['Benjamin Martins'],0.972,0.162,192000,0.00109,0.913,11,0.0851,-47.452,0,0.0478,109.255,4,0.0536,-1.0,-1.0,0.0336,Sleepy
10,Just Because,['Skye Baird'],0.958,0.168,171000,0.032,0.823,7,0.128,-30.525,1,0.0427,71.611,4,0.0742,0.9775,0.9775,0.0938,Sleepy
11,Views from Tower Two,['Alaskan Tapes'],0.974,0.135,393000,0.0015,0.95,10,0.103,-32.248,0,0.0487,70.412,4,0.034,1.0,1.0,0.054,Sleepy
12,Sineway,['Boreal Embla'],0.974,0.123,141138,0.00485,0.832,1,0.116,-36.102,1,0.0481,77.05,3,0.0394,1.0,1.0,0.0594,Sleepy
13,Slow Down the Night,['Maximilian Sievert'],0.975,0.175,220800,0.0171,0.915,0,0.0998,-32.054,1,0.04,80.512,4,0.0318,,,0.0318,Sleepy
14,The Nimrod Expedition,['Anthropological'],0.986,0.172,216000,0.0355,0.895,0,0.106,-30.442,1,0.0407,138.015,1,0.0386,1.0,1.0,0.0586,Sleepy
15,Moment To Moment,['Modal Colours'],0.946,0.113,155202,0.0413,0.886,5,0.103,-29.786,1,0.0432,78.745,4,0.152,1.0,1.0,0.172,Sleepy
16,cloudwalking,"['oh, the joy.']",0.926,0.162,156739,0.0323,0.809,6,0.11,-40.145,1,0.0545,130.908,3,0.0343,,,0.0343,Sleepy
17,Eternal Glow,['Soothe My Soul'],0.973,0.0791,167500,0.00782,0.94,3,0.107,-38.003,1,0.0594,83.457,4,0.0345,0.9841,0.9841,0.0542,Sleepy
18,Norrbotten,['Lugnet före stormen'],0.797,0.161,156000,0.0276,0.833,1,0.106,-31.676,1,0.043,69.962,3,0.083,,,0.083,Sleepy
19,Define,['Till Kahn'],0.541,0.142,208421,0.159,0.783,0,0.104,-24.167,1,0.0378,139.901,3,0.0576,-0.9877,-0.9877,0.0378,Sleepy
20,Querencia,['Cameron Sinosa'],0.991,0.17,194649,0.00316,0.931,5,0.111,-38.615,0,0.0422,70.964,3,0.0946,,,0.0946,Sleepy
21,Mahola,['Turquoise Palms'],0.827,0.0851,232000,0.199,0.766,0,0.108,-25.653,1,0.0447,77.681,4,0.054,,,0.054,Sleepy
22,Gravitational Waves,['Ocean Mysteries'],0.861,0.134,200776,0.107,0.575,7,0.105,-27.483,1,0.0444,144.29,3,0.0357,1.0,1.0,0.0557,Sleepy
23,Neogothic,['Elivvia'],0.89,0.171,213291,0.00773,0.828,8,0.11,-27.732,1,0.0404,136.192,1,0.0292,,,0.0292,Sleepy
24,Cartography Of Water,['Beautiful Storms'],0.898,0.175,167295,0.0822,0.793,0,0.0704,-25.286,1,0.0414,77.682,4,0.0304,0.9985,0.9985,0.0504,Sleepy
25,Acending,['So Jao'],0.97,0.205,174748,0.0406,0.979,5,0.143,-30.85,1,0.0462,87.113,3,0.0592,0.9979,0.9979,0.0792,Sleepy
26,Contemplation,['Spirit Minds'],0.73,0.137,200000,0.125,0.958,0,0.0927,-23.093,1,0.0433,78.996,3,0.0328,0.9998,0.9998,0.0528,Sleepy
27,Schlafmittel,['Felix Hertzog'],0.938,0.152,168000,0.012,0.805,0,0.101,-34.256,1,0.0458,68.978,3,0.0939,,,0.0939,Sleepy
28,La amabilidad,['Amor de la luna'],0.936,0.154,143406,0.0121,0.675,11,0.134,-33.914,1,0.041,135.653,3,0.0379,0.9961,0.9961,0.0578,Sleepy
29,Tones Of Sleep,['Shoo Zen'],0.9,0.218,132261,0.0185,0.769,0,0.109,-33.584,0,0.0787,143.386,5,0.489,-0.9977,-0.9977,0.469,Sleepy
30,Universo,['Universo'],0.971,0.0697,176953,0.0936,0.84,3,0.09,-22.559,1,0.0459,76.302,4,0.0262,0.5255,0.5255,0.0367,Sleepy
31,The Journey,['Malik Jeremiassen'],0.93,0.165,157000,0.0375,0.939,9,0.0855,-30.391,1,0.0446,75.222,4,0.0654,,,0.0654,Sleepy
32,Mirrors,['Tairata'],0.979,0.181,138361,0.00879,0.937,5,0.0957,-33.139,1,0.0458,69.255,1,0.0478,1.0,1.0,0.0678,Sleepy
33,Perspective,['Jorin Williams'],0.938,0.129,176636,0.0376,0.892,6,0.112,-34.587,1,0.0399,68.571,4,0.0516,0.9992,0.9992,0.0716,Sleepy
34,Bylgjur,['Einingu'],0.799,0.106,141062,0.0202,0.769,8,0.109,-32.719,1,0.043,92.214,3,0.0342,,,0.0342,Sleepy
35,I´ll See A Light,['Tryggve Malmberg'],0.934,0.147,148500,0.104,0.811,4,0.102,-27.913,1,0.0423,70.876,5,0.0405,,,0.0405,Sleepy
36,From Above,['Jack Rosslyn'],0.771,0.148,139272,0.0299,0.994,0,0.112,-27.491,1,0.043,67.556,5,0.0308,,,0.0308,Sleepy
37,Long Distances,['Counting Tides'],0.866,0.0977,172375,0.0338,0.842,0,0.0863,-34.726,1,0.0463,60.525,4,0.0373,0.9985,0.9985,0.0573,Sleepy
38,Beautiful Imagination,['Little Circuits'],0.797,0.102,143053,0.0333,0.927,3,0.111,-34.177,1,0.0476,89.605,4,0.0591,0.9998,0.9998,0.0791,Sleepy
39,always,['Florence Adame'],0.989,0.196,176500,0.0409,0.997,7,0.0867,-27.052,1,0.0422,67.264,5,0.0342,1.0,1.0,0.0542,Sleepy
40,Stellaristique Vision,['Degravitated'],0.802,0.22,206769,0.162,0.913,1,0.105,-22.44,0,0.0332,63.806,4,0.039,,,0.039,Sleepy
41,Deep Soul,['Sydney Woods'],0.934,0.162,163909,0.172,0.845,2,0.1,-22.401,1,0.0585,89.49,3,0.115,0.9984,0.9984,0.135,Sleepy
42,Light Being,['Xoj Litran'],0.0175,0.184,176000,0.331,0.865,7,0.107,-21.832,1,0.0479,64.713,4,0.199,,,0.199,Sleepy
43,Panalipa Bisignatus,['Sir Martin Walker'],0.991,0.14,236000,0.0155,0.722,6,0.101,-31.517,1,0.0451,142.751,3,0.032,,,0.032,Sleepy
44,Bio-logical,['Soundtopia'],0.985,0.0763,179252,0.0261,0.976,1,0.0891,-31.0,1,0.048,178.17,3,0.0854,,,0.0854,Sleepy
45,Lighthouses - Ambient Version,['Felix Werner'],0.842,0.208,183996,0.0581,0.624,2,0.109,-27.906,1,0.0502,68.942,4,0.0394,,,0.0394,Sleepy
46,Aurora,['The Destination'],0.793,0.165,185769,0.164,0.808,0,0.107,-20.668,1,0.0433,130.222,4,0.0326,0.9011,0.9011,0.0506,Sleepy
47,Becalming,['Rebecka Aether'],0.992,0.158,190346,0.0186,0.921,11,0.101,-33.662,0,0.0456,135.36,3,0.0531,1.0,1.0,0.0731,Sleepy
48,Uitblinken,['Sohn Aelia'],0.965,0.199,179790,0.0334,0.942,0,0.0819,-29.758,1,0.0441,64.8,3,0.0355,,,0.0355,Sleepy
49,Ladybugs,['Serene & Pax'],0.98,0.148,189500,0.00215,0.816,2,0.095,-32.153,1,0.0372,64.37,4,0.0727,,,0.0727,Sleepy
50,Fear To Overcome,['Howling Winds'],0.96,0.16,186479,0.0341,0.961,6,0.105,-32.302,1,0.0423,132.379,3,0.0376,0.9996,0.9996,0.0576,Sleepy
51,Grou,['Joel Moin'],0.983,0.108,230769,0.00332,0.748,7,0.13,-36.116,1,0.0412,76.92,4,0.0398,-0.961,-0.961,0.0206,Sleepy
52,Sedate Dawn,['Quinn Joshua'],0.91,0.0999,165802,0.0273,0.66,11,0.11,-31.428,1,0.0405,68.322,3,0.117,,,0.117,Sleepy
53,Cynefin,['Chieloka'],0.992,0.168,203625,0.00254,0.93,0,0.105,-34.587,1,0.0483,59.071,4,0.0363,,,0.0363,Sleepy
54,Viento Estelar,['Universo'],0.965,0.141,185943,0.0405,0.966,3,0.0983,-29.013,1,0.0382,59.418,4,0.0378,-0.9549,-0.9549,0.0187,Sleepy
55,Altai,['Sezja'],0.932,0.182,197500,0.0372,0.816,5,0.0635,-33.001,1,0.0409,68.898,3,0.078,0.4826,0.4826,0.0877,Sleepy
56,delta state,['nite sky'],0.819,0.0757,181750,0.00429,0.829,2,0.111,-38.474,1,0.0553,75.47,4,0.0601,0.9958,0.9958,0.08,Sleepy
57,Polar Breeze,['Karlis Volt'],0.921,0.162,106800,0.0177,0.953,3,0.115,-32.806,0,0.0421,67.572,3,0.121,,,0.121,Sleepy
58,Virga I (ii),['Eluvium'],0.878,0.17,246027,0.17,0.742,7,0.112,-23.001,0,0.0425,125.517,4,0.0777,,,0.0777,Sleepy
59,Spaces,['Spirit Minds'],0.986,0.22,207000,0.0514,0.897,7,0.129,-25.116,0,0.0445,80.671,4,0.0358,-0.3741,-0.3741,0.0283,Sleepy
60,Ethelred Son of Ethelwolf,['Syntrophic Spectacles'],0.906,0.224,204000,0.11,0.843,10,0.101,-28.032,1,0.0895,132.376,5,0.172,,,0.172,Sleepy
61,Illa Pancha,['Huma'],0.748,0.153,160000,0.0485,0.683,9,0.111,-29.07,1,0.0422,63.351,3,0.0374,-0.2722,-0.2722,0.032,Sleepy
62,Coast of Dreams,['Ocean Mysteries'],0.946,0.249,167851,0.108,0.834,0,0.096,-23.693,1,0.0445,67.952,4,0.0326,-0.9994,-0.9994,0.0126,Sleepy
63,Dream Of Flight,['Nile Kaufman'],0.911,0.145,161906,0.097,0.887,10,0.101,-27.638,1,0.043,139.798,5,0.0751,,,0.0751,Sleepy
64,Imber Night Shift,['Imber Ora'],0.99,0.203,173497,0.0214,0.982,5,0.108,-28.571,0,0.0417,69.748,4,0.0351,-1.0,-1.0,0.0151,Sleepy
65,Devine Light,['Hatha Priya'],0.993,0.19,140707,0.0156,0.935,5,0.103,-30.698,1,0.0445,74.385,5,0.0667,0.9999,0.9999,0.0867,Sleepy
66,Langeland,['Felix Langgard'],0.821,0.0612,182338,0.0941,0.789,5,0.107,-25.781,1,0.0485,65.222,4,0.0331,,,0.0331,Sleepy
67,As Seen In Silver Halide,['Silver Roses'],0.965,0.185,196000,0.0506,0.897,5,0.117,-28.107,1,0.0568,142.422,5,0.0767,1.0,1.0,0.0967,Sleepy
68,Sea Of Colors,['Airship Express'],0.963,0.255,184250,0.118,0.897,6,0.101,-20.562,1,0.0769,139.642,4,0.109,0.9997,0.9997,0.129,Sleepy
69,Awakening,['David Payne'],0.752,0.206,126013,0.396,0.992,7,0.127,-15.443,1,0.0785,71.234,4,0.175,0.8818,0.8818,0.1926,Sleepy
70,Waves in Space,['Spacewaves'],0.98,0.203,190451,0.0337,0.934,2,0.11,-30.031,1,0.0503,63.822,4,0.0364,0.9807,0.9807,0.056,Sleepy
71,Nomeh,['Alisieu'],0.866,0.147,234000,0.0595,0.885,5,0.107,-29.13,0,0.0401,69.656,4,0.0487,,,0.0487,Sleepy
72,Devi Drone,['Phunard'],0.971,0.208,112199,0.0187,0.879,0,0.119,-32.373,0,0.0661,68.983,3,0.458,,,0.458,Sleepy
73,Sleep Drone,['One Stop'],0.984,0.218,122601,0.0431,0.887,2,0.111,-34.942,1,0.0454,70.707,4,0.0279,0.9494,0.9494,0.0469,Sleepy
74,Wild Flowers,['Zibra Inguzu'],0.864,0.227,207236,0.209,0.906,5,0.113,-23.684,0,0.053,71.65,1,0.0582,,,0.0582,Sleepy
75,Concentrate on the beat,['Blund'],0.471,0.0852,198250,0.0101,0.745,2,0.112,-32.984,1,0.0464,85.348,4,0.0771,0.5217,0.5217,0.0875,Sleepy
76,Determination,['Vishal Casey'],0.988,0.204,163185,0.0102,0.9,4,0.0867,-31.136,1,0.0365,67.205,4,0.0376,-1.0,-1.0,0.0176,Sleepy
77,Curves,['Norrona'],0.931,0.141,194500,0.0732,0.913,0,0.111,-23.518,1,0.043,69.712,4,0.0315,0.9996,0.9996,0.0515,Sleepy
78,Capotain,['Gentle Hat Club'],0.989,0.21,208000,0.0356,0.852,2,0.1,-26.467,1,0.134,168.355,5,0.083,0.9992,0.9992,0.103,Sleepy
79,West End,['Universal Balance'],0.99,0.237,135417,0.0814,0.859,11,0.099,-23.651,0,0.0475,102.775,4,0.033,-0.9975,-0.9975,0.013,Sleepy
80,Renewal,['Liquid Mind'],0.888,0.146,491147,0.198,0.882,0,0.0824,-20.648,1,0.0408,79.937,4,0.0333,0.9985,0.9985,0.0533,Sleepy
81,Acending,['Space flower'],0.991,0.162,182898,0.0605,0.968,7,0.106,-28.199,1,0.0449,77.707,3,0.0828,-0.9983,-0.9983,0.0628,Sleepy
82,Elenov Dol,['Celliophone'],0.925,0.2,231165,0.0405,0.814,5,0.113,-27.372,1,0.0462,121.803,3,0.0361,,,0.0361,Sleepy
83,Cardboard Gadgets,['Georg Valeks'],0.913,0.137,216000,0.0539,0.812,0,0.0906,-27.532,1,0.0422,72.474,4,0.0573,,,0.0573,Sleepy
84,Colors,['Ashtanga'],0.821,0.0656,191000,0.119,0.937,6,0.086,-25.379,0,0.0407,71.072,3,0.0384,0.9994,0.9994,0.0584,Sleepy
85,Juguete,['Explorador Sonico'],0.986,0.113,221017,0.00817,0.903,7,0.107,-39.941,1,0.043,72.923,4,0.0372,,,0.0372,Sleepy
86,Give Me Your Hand,['Landscape Dreams'],0.88,0.109,246102,0.00388,0.943,2,0.102,-37.272,0,0.0452,77.049,4,0.0602,-0.998,-0.998,0.0402,Sleepy
87,Still,['Sonic Being'],0.937,0.0607,192500,0.00396,0.716,6,0.109,-30.216,0,0.049,69.776,4,0.0702,-0.9991,-0.9991,0.0502,Sleepy
88,Crevice,['Juhani Ahonen'],0.904,0.165,159913,0.0386,0.869,4,0.107,-30.602,0,0.04,81.498,4,0.0451,,,0.0451,Sleepy
89,Trigg's Oldest Book,['Marsupial Habits'],0.836,0.138,228000,0.0393,0.655,5,0.1,-27.635,1,0.052,141.402,5,0.0308,,,0.0308,Sleepy
90,Dromen,['Bedtijd'],0.994,0.137,106255,0.00779,0.995,0,0.112,-33.622,1,0.0631,141.805,4,0.0227,0.9957,0.9957,0.0426,Sleepy
91,Brain Focus Yoga,['Sleep Sound Hub'],0.962,0.0768,116657,0.018,0.873,1,0.11,-28.181,1,0.044,68.47,3,0.586,-0.9995,-0.9995,0.566,Sleepy
